Sequence_ID	Symptoms	Mortality	Complications	Drug_Resistance	At_Risk_Vulnerability
2	Mild	Medium	Minor	Intermediate	Medium
15	Mild	Low	Minor	Resistant	Low
19	Mild	Medium	Minor	Resistant	Low
25	Moderate	Medium	Minor	Susceptible	Low
29	Moderate	Medium	Minor	Susceptible	Medium
39	Moderate	Low	Minor	Susceptible	Medium
49	Mild	Low	Minor	Resistant	Medium
51	Moderate	High	Minor	Resistant	Medium
79	Mild	Low	Minor	Resistant	High
91	Moderate	Low	Minor	Susceptible	Medium
93	Mild	Low	Major	Resistant	Medium
98	Mild	Low	Minor	Susceptible	Medium
99	Severe	High	Minor	Resistant	Low
118	Severe	High	Minor	Resistant	High
123	Severe	High	Minor	Resistant	High
159	Moderate	Low	Minor	Susceptible	Medium
186	Moderate	Low	Minor	Intermediate	Medium
197	Severe	Medium	Minor	Resistant	High
202	Severe	Medium	Major	Resistant	Medium
209	Moderate	Medium	Minor	Intermediate	High
211	Moderate	High	Major	Resistant	Medium
248	Severe	Medium	Minor	Resistant	High
253	Moderate	Medium	Major	Resistant	Medium
299	Mild	Medium	Major	Resistant	Low
333	Moderate	Low	Minor	Resistant	Medium
336	Moderate	Medium	Minor	Susceptible	Medium
347	Mild	Medium	Minor	Susceptible	Low
348	Mild	Medium	Minor	Susceptible	Low
418	Severe	Medium	Major	Resistant	Low
445	Mild	Low	Minor	Resistant	Low
500	Moderate	Low	Major	Resistant	Medium
501	Severe	High	Minor	Resistant	High
517	Moderate	Medium	Minor	Intermediate	Medium
525	Moderate	High	Minor	Resistant	Medium
531	Moderate	Medium	Minor	Intermediate	Medium
577	Mild	Low	Minor	Resistant	Medium
583	Severe	High	Minor	Resistant	Medium
612	Mild	Low	Major	Resistant	Medium
653	Moderate	Medium	Minor	Resistant	High
676	Moderate	Medium	Minor	Resistant	Low
690	Moderate	High	Minor	Resistant	Medium
699	Moderate	Low	Minor	Resistant	Medium
705	Severe	Medium	Major	Resistant	Medium
760	Mild	Medium	Minor	Susceptible	Low
770	Moderate	Medium	Minor	Resistant	Low
842	Moderate	High	Minor	Resistant	High
865	Severe	Medium	Minor	Intermediate	High
867	Mild	Low	Minor	Intermediate	Low
872	Moderate	Medium	Minor	Intermediate	High
876	Severe	Medium	Minor	Resistant	High
895	Moderate	Medium	Major	Resistant	Medium
921	Mild	Medium	Minor	Susceptible	Medium
923	Moderate	Low	Major	Resistant	Medium
937	Moderate	Medium	Minor	Resistant	Medium
952	Severe	Medium	Major	Resistant	Low
961	Mild	Low	Minor	Resistant	High
976	Moderate	Medium	Minor	Resistant	Medium
997	Severe	High	Minor	Resistant	Medium
